Mean_age,Mean_salary,Rating_Eco,code
40.08,30072,70,22
37.9,52430,57,28
40.15,52779,61,29
38.52,38885,63,30
38.57,38738,61,2
41.13,37442,75,31
41.28,31946,59,32
35.5,41800,55,3
41.86,35240,59,33
40.87,35962,59,34
39.89,42775,67,35
41.92,36317,60,36
32.29,31342,63,5
37.63,46237,53,79
35.9,47172,49,75
41.75,29083,66,37
30.65,29648,66,6
37.42,49885,45,38
36.46,29899,66,7
39.8,36647,55,39
37.17,32013,55,8
41.44,43994,69,40
37.87,85623,61,41
37.64,29865,66,9
40.48,46501,63,10
39.28,43429,60,42
41.35,32692,61,43
40.93,32220,69,44
39.97,38499,64,23
38.18,54426,49,24
40.91,34181,56,91
40.9,33182,59,45
41.57,35805,71,46
41.7,48286,57,47
41.57,36790,59,48
38.26,102843,67,49
39.19,32278,66,12
41.61,31105,64,13
41.89,100070,70,77
40.06,58066,53,50
38.49,69135,67,51
35.13,92237,65,83
41.16,37601,60,52
41.66,34169,65,53
39.33,41534,55,54
39.08,37828,46,55
39.09,35075,53,56
41.8,31862,56,57
42.14,32766,66,58
38.81,41958,66,59
39.46,50105,51,25
41.97,31496,60,60
33.99,36269,73,4
38.22,57156,67,11
29.49,44104,57,17
40.76,35622,63,61
42.49,36459,64,62
40.73,38748,63,63
41.24,68667,68,78
41.11,33545,56,64
38.59,92518,55,65
39.5,43256,48,66
40.72,36300,52,92
37.94,30479,63,15
41.72,33139,62,67
39.0,33877,62,26
42.9,31063,77,68
39.11,39761,62,16
41.94,36077,61,69
38.01,48730,62,70
42.96,40889,54,71
37.11,51501,66,72
38.68,36380,67,18
41.64,32504,67,73
38.27,53113,53,27
37.69,43800,63,19
34.65,79822,53,86
39.4,39349,48,74
28.2,29771,68,20
39.5,31844,70,21
34.85,120641,68,87
34.11,77178,49,14
33.33,111216,61,89
41.47,37820,67,76
39.46,32161,64,1
